[COT 2024-01-11 21:52:15] 76561198036774377: Set rain to 0 0 0
[COT 2024-01-11 21:52:15] 76561198036774377: Set storm to 0 0.8 4000
[COT 2024-01-11 21:52:15] 76561198036774377: Set fog to 0.0273892 0 0
[COT 2024-01-11 21:52:15] 76561198036774377: Set overcast to 0.0906206 0 0
[COT 2024-01-11 21:52:15] 76561198036774377: Set the date to 2024/10/4 19:54
[COT 2024-01-11 21:52:15] 76561198036774377: Set wind to 11.88 11.88 1
[COT 2024-01-11 21:52:45] 76561198036774377: Set Reputation To 42069 [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2024-01-11 21:55:14] 76561198036774377: Spawned Entity Tactical Waist Pack (Msp_WaistPack_Base<9791b20>, 100, 100, 0) at <5649.324219, 29.502865, 5404.789063>
[COT 2024-01-11 21:57:38] 76561198036774377: Spawned Entity Glow Stick (Chemlight_White<14900ce0>, 100, 20, 0) at <5644.080566, 28.722498, 5404.657715>
[COT 2024-01-11 21:57:38] 76561198036774377: Spawned Entity Glow Stick (Chemlight_White<14908080>, 100, 20, 0) at <5644.080566, 28.722498, 5404.657715>
[COT 2024-01-11 21:57:38] 76561198036774377: Spawned Entity Glow Stick (Chemlight_White<149074f0>, 100, 20, 0) at <5644.080566, 28.722498, 5404.657715>
[COT 2024-01-11 21:57:38] 76561198036774377: Spawned Entity Glow Stick (Chemlight_White<14905240>, 100, 20, 0) at <5644.080566, 28.722498, 5404.657715>
[COT 2024-01-11 21:57:38] 76561198036774377: Spawned Entity Glow Stick (Chemlight_White<14903b20>, 100, 20, 0) at <5644.080566, 28.722498, 5404.657715>
[COT 2024-01-11 22:17:34] 76561198036774377: Spawned Entity Maglite (Flashlight<81536530>, 100, 70, 0) at <5617.003906, 29.020840, 5414.685547>
[COT 2024-01-11 22:17:34] 76561198036774377: Spawned Entity Maglite (Flashlight<815308b0>, 100, 70, 0) at <5617.003906, 29.020840, 5414.685547>
[COT 2024-01-11 22:17:35] 76561198036774377: Spawned Entity Maglite (Flashlight<8153c1b0>, 100, 70, 0) at <5617.003906, 29.020840, 5414.685547>
[COT 2024-01-11 22:17:35] 76561198036774377: Spawned Entity Maglite (Flashlight<8153aa90>, 100, 70, 0) at <5617.003906, 29.020840, 5414.685547>
[COT 2024-01-11 22:17:35] 76561198036774377: Spawned Entity Maglite (Flashlight<815387e0>, 100, 70, 0) at <5617.003906, 29.020840, 5414.685547>
[COT 2024-01-11 22:17:35] 76561198036774377: Spawned Entity Maglite (Flashlight<81539370>, 100, 70, 0) at <5617.003906, 29.020840, 5414.685547>
[COT 2024-01-11 22:17:36] 76561198036774377: Spawned Entity Maglite (Flashlight<81539f00>, 100, 70, 0) at <5617.003906, 29.020840, 5414.685547>
[COT 2024-01-11 22:17:36] 76561198036774377: Spawned Entity Maglite (Flashlight<815440e0>, 100, 70, 0) at <5617.003906, 29.020840, 5414.685547>
[COT 2024-01-11 22:17:36] 76561198036774377: Spawned Entity Maglite (Flashlight<8153eff0>, 100, 70, 0) at <5617.003906, 29.020840, 5414.685547>
[COT 2024-01-11 22:17:36] 76561198036774377: Spawned Entity Maglite (Flashlight<81544c70>, 100, 70, 0) at <5617.003906, 29.020840, 5414.685547>
