06:23:06.992 [Party] Player "Alaric" (id=sZJ432ovDQIgWd8wMve4ae1CuexC2jM_6lmUd51b4VQ=) joinded the party "Duskarians" (id=9 ownerUID=sZJ432ovDQIgWd8wMve4ae1CuexC2jM_6lmUd51b4VQ= ownerName=Alaric)
06:30:52.636 [VehicleCarKey] Player "Alaric" (id=sZJ432ovDQIgWd8wMve4ae1CuexC2jM_6lmUd51b4VQ= pos=<7926.330078, 54.162498, 8152.110352>) used the  ExpansionCarKey to unlock Truck_01_Covered_Yellow (id=B84C7B8D7947A670B4E53FB881365B2D pos=<7928.378418, 54.141567, 8150.007813>)
06:31:56.876 [VehicleCarKey] Player "Alaric" (id=sZJ432ovDQIgWd8wMve4ae1CuexC2jM_6lmUd51b4VQ= pos=<7926.330078, 54.162498, 8152.110352>) used the  ExpansionCarKey to lock Truck_01_Covered_Yellow (id=B84C7B8D7947A670B4E53FB881365B2D pos=<7928.378418, 54.141567, 8150.007813>)
06:44:05.792 [VehicleCarKey] Player "Alaric" (id=sZJ432ovDQIgWd8wMve4ae1CuexC2jM_6lmUd51b4VQ= pos=<7928.018555, 54.162498, 8152.045898>) used the  ExpansionCarKey to unlock Truck_01_Covered_Yellow (id=B84C7B8D7947A670B4E53FB881365B2D pos=<7928.378418, 54.141567, 8150.007813>)
06:44:14.250 [VehicleEnter] Player Alaric [uid=sZJ432ovDQIgWd8wMve4ae1CuexC2jM_6lmUd51b4VQ=] entered vehicle M3S Covered (id=B84C7B8D7947A670B4E53FB881365B2D pos=<7928.378418, 54.141571, 8150.007813>) as driver
06:44:16.746 [VehicleEngine] Player Alaric [uid=sZJ432ovDQIgWd8wMve4ae1CuexC2jM_6lmUd51b4VQ=] started vehicle M3S Covered (id=B84C7B8D7947A670B4E53FB881365B2D pos=<7928.378418, 54.141567, 8150.007813>)
06:51:16.041 [AI Patrol] Spawning 3 Power Plant Patrol bots at <4715.152832, 20.430000, 6948.619629>
06:54:11.244 [Safezone] Player "Alaric" (id=sZJ432ovDQIgWd8wMve4ae1CuexC2jM_6lmUd51b4VQ= pos=<5662.195801, 30.193365, 5528.100586>) Entered the safezone
06:54:57.011 [VehicleEngine] Player Alaric [uid=sZJ432ovDQIgWd8wMve4ae1CuexC2jM_6lmUd51b4VQ=] stopped vehicle M3S Covered (id=B84C7B8D7947A670B4E53FB881365B2D pos=<5633.378418, 28.701588, 5381.273926>)
06:55:00.689 [VehicleLeave] Player Alaric [uid=sZJ432ovDQIgWd8wMve4ae1CuexC2jM_6lmUd51b4VQ=] left vehicle M3S Covered (id=B84C7B8D7947A670B4E53FB881365B2D pos=<5633.378418, 28.701550, 5381.273926>)
06:55:43.701 [VehicleCarKey] Player "Alaric" (id=sZJ432ovDQIgWd8wMve4ae1CuexC2jM_6lmUd51b4VQ= pos=<5633.900879, 28.722498, 5379.298340>) used the  ExpansionCarKey to lock Truck_01_Covered_Yellow (id=B84C7B8D7947A670B4E53FB881365B2D pos=<5633.378418, 28.701569, 5381.273926>)
06:56:57.121 [Market] Player "Alaric" (id=sZJ432ovDQIgWd8wMve4ae1CuexC2jM_6lmUd51b4VQ=) has send a requested to purchase nail x48 from the trader "BuildingSupplies (Indar [Building Trader])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>).
06:56:57.224 [Market] Player "Alaric" (id=sZJ432ovDQIgWd8wMve4ae1CuexC2jM_6lmUd51b4VQ=) has bought nail x48 from the trader "BuildingSupplies (Indar [Building Trader])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>) for a price of 144.
06:57:04.513 [Market] Player "Alaric" (id=sZJ432ovDQIgWd8wMve4ae1CuexC2jM_6lmUd51b4VQ=) has send a requested to purchase woodenplank x24 from the trader "BuildingSupplies (Indar [Building Trader])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>).
06:57:04.583 [Market] Player "Alaric" (id=sZJ432ovDQIgWd8wMve4ae1CuexC2jM_6lmUd51b4VQ=) has bought woodenplank x24 from the trader "BuildingSupplies (Indar [Building Trader])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>) for a price of 1200.
