00:02:20.954 [Safezone] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0= pos=<5616.877441, 29.023972, 5418.303223>) Entered the safezone
00:02:20.955 [Party] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) joinded the party "Hunter Bros" (id=26 ownerUID=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0= ownerName=Cap)
00:03:19.280 [Party] Player "Dirtydan" (id=eZvdqnhxQZeB4Wvp7ko5cFy79bCUMACrCdUKq6S9F3w=) joinded the party "Dirty Crew" (id=23 ownerUID=VsEWQWxzvcTpDLQgc9tVyxq5TiqDS9O3QehdBa_YkH8= ownerName=Condom Breath)
00:05:01.875 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has send a requested to sell ammo_huntingbolt x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>).
00:05:01.941 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has sold ammo_huntingbolt x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>) and got 5.
00:05:02.923 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has send a requested to sell ammo_huntingbolt x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>).
00:05:03.059 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has sold ammo_huntingbolt x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>) and got 5.
00:05:03.514 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has send a requested to sell ammo_huntingbolt x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>).
00:05:03.673 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has sold ammo_huntingbolt x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>) and got 5.
00:05:03.811 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has send a requested to sell ammo_huntingbolt x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>).
00:05:03.917 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has sold ammo_huntingbolt x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>) and got 5.
00:05:04.876 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has send a requested to sell ammo_huntingbolt x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>).
00:05:05.050 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has sold ammo_huntingbolt x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>) and got 5.
00:05:21.441 [Market] Player "Cap" (id=Q3M9FJE3Je-u4MYuLOACkjxlPTmQOXPO6od4hwPU2Q0=) has send a requested to sell expansion_ammo_8mm x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>).
