12:01:18.949 [Party] Player "Condom Breath" (id=VsEWQWxzvcTpDLQgc9tVyxq5TiqDS9O3QehdBa_YkH8=) joinded the party "Dirty Crew" (id=23 ownerUID=VsEWQWxzvcTpDLQgc9tVyxq5TiqDS9O3QehdBa_YkH8= ownerName=Condom Breath)
12:01:18.957 [AI Patrol] Spawning 2 Shamans bots at <5661.366211, 9.768845, 8879.057617>
12:01:19.046 [AI Patrol] Spawning 3 Power Plant Patrol bots at <4714.340332, 20.430000, 7221.539063>
12:01:25.222 [AI Patrol] Spawning 3 Temple Patrol bots at <328.050079, 47.070000, 792.667786>
12:01:25.242 [AI Patrol] Spawning 3 Temple Patrol bots at <303.572357, 47.027927, 798.892273>
12:01:25.253 [AI Patrol] Spawning 3 Temple Patrol bots at <451.981659, 55.318199, 844.948120>
12:01:26.921 [VehicleEnter] Player Condom Breath [uid=VsEWQWxzvcTpDLQgc9tVyxq5TiqDS9O3QehdBa_YkH8=] entered vehicle Mh-6 Little Bird (id=5083FB9B8044475661D0BEB46B1D31DD pos=<5288.095215, 38.015030, 8021.935059>) as pilot
12:01:28.718 [VehicleEngine] Player Condom Breath [uid=VsEWQWxzvcTpDLQgc9tVyxq5TiqDS9O3QehdBa_YkH8=] started vehicle Mh-6 Little Bird (id=5083FB9B8044475661D0BEB46B1D31DD pos=<5288.095215, 38.014961, 8021.935547>)
12:02:15.394 [Party] Player "BDH Crazy22" (id=xBwUe6F0ELy8UX4ZzLIEUefw3PJSjX0OdDxaAAGlFcY=) joinded the party "noobs" (id=27 ownerUID=xBwUe6F0ELy8UX4ZzLIEUefw3PJSjX0OdDxaAAGlFcY= ownerName=BDH Crazy22)
12:02:46.671 [VehicleEnter] Player BDH Crazy22 [uid=xBwUe6F0ELy8UX4ZzLIEUefw3PJSjX0OdDxaAAGlFcY=] entered vehicle ToyotaHilux rust (id=D0BDD6DEB64630CCFABD1BA86291A6EA pos=<8626.977539, 3.952701, 4003.677734>) as driver
12:02:49.351 [VehicleLeave] Player BDH Crazy22 [uid=xBwUe6F0ELy8UX4ZzLIEUefw3PJSjX0OdDxaAAGlFcY=] left vehicle ToyotaHilux rust (id=D0BDD6DEB64630CCFABD1BA86291A6EA pos=<8626.977539, 3.952694, 4003.677002>)
12:03:01.714 [VehicleEnter] Player BDH Crazy22 [uid=xBwUe6F0ELy8UX4ZzLIEUefw3PJSjX0OdDxaAAGlFcY=] entered vehicle ToyotaHilux rust (id=D0BDD6DEB64630CCFABD1BA86291A6EA pos=<8626.981445, 3.952698, 4003.680176>) as driver
12:03:03.890 [VehicleEngine] Player BDH Crazy22 [uid=xBwUe6F0ELy8UX4ZzLIEUefw3PJSjX0OdDxaAAGlFcY=] started vehicle ToyotaHilux rust (id=D0BDD6DEB64630CCFABD1BA86291A6EA pos=<8626.979492, 3.952680, 4003.677490>)
12:03:37.160 [Safezone] Player "Condom Breath" (id=VsEWQWxzvcTpDLQgc9tVyxq5TiqDS9O3QehdBa_YkH8= pos=<5651.844727, 91.014854, 5525.431641>) Entered the safezone
12:03:41.335 [AI Patrol] Spawning 3 Camp Eagle Patrol bots at <8814.694336, 46.566372, 3897.712646>
12:04:20.453 [VehicleEngine] Player Condom Breath [uid=VsEWQWxzvcTpDLQgc9tVyxq5TiqDS9O3QehdBa_YkH8=] stopped vehicle Mh-6 Little Bird (id=5083FB9B8044475661D0BEB46B1D31DD pos=<5640.962402, 28.548891, 5428.254883>)
12:04:27.324 [VehicleLeave] Player Condom Breath [uid=VsEWQWxzvcTpDLQgc9tVyxq5TiqDS9O3QehdBa_YkH8=] left vehicle Mh-6 Little Bird (id=5083FB9B8044475661D0BEB46B1D31DD pos=<5640.842773, 28.365658, 5427.709473>)
12:04:37.367 [VehicleLeave] Player BDH Crazy22 [uid=xBwUe6F0ELy8UX4ZzLIEUefw3PJSjX0OdDxaAAGlFcY=] left vehicle ToyotaHilux rust (id=D0BDD6DEB64630CCFABD1BA86291A6EA pos=<7967.963867, 7.170263, 4263.094727>)
12:05:03.132 [Market] Player "Condom Breath" (id=VsEWQWxzvcTpDLQgc9tVyxq5TiqDS9O3QehdBa_YkH8=) has send a requested to purchase expansiondeltapointoptic x1 from the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>).
12:05:03.285 [Market] Player "Condom Breath" (id=VsEWQWxzvcTpDLQgc9tVyxq5TiqDS9O3QehdBa_YkH8=) has bought expansiondeltapointoptic x1 from the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>) for a price of 150.
12:05:23.964 [Market] Player "Condom Breath" (id=VsEWQWxzvcTpDLQgc9tVyxq5TiqDS9O3QehdBa_YkH8=) has send a requested to purchase expansionexps3holooptic x1 from the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>).
12:05:24.113 [Market] Player "Condom Breath" (id=VsEWQWxzvcTpDLQgc9tVyxq5TiqDS9O3QehdBa_YkH8=) has bought expansionexps3holooptic x1 from the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>) for a price of 200.
12:05:43.089 [Market] Player "Condom Breath" (id=VsEWQWxzvcTpDLQgc9tVyxq5TiqDS9O3QehdBa_YkH8=) has send a requested to sell expansiondeltapointoptic x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>).
12:05:43.218 [Market] Player "Condom Breath" (id=VsEWQWxzvcTpDLQgc9tVyxq5TiqDS9O3QehdBa_YkH8=) has sold expansiondeltapointoptic x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>) and got 112.
12:06:05.675 [Market] Player "Condom Breath" (id=VsEWQWxzvcTpDLQgc9tVyxq5TiqDS9O3QehdBa_YkH8=) has send a requested to sell twp_ak47tactical_mag_45rnd x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>).
12:06:05.820 [Market] Player "Condom Breath" (id=VsEWQWxzvcTpDLQgc9tVyxq5TiqDS9O3QehdBa_YkH8=) has sold twp_ak47tactical_mag_45rnd x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>) and got 720.
