02-06 20:33:49 | Server | Debug | n/a | n/a | n/a | [TrackedDivingLootContainer] Initialisation
02-06 20:33:49 | Server | Debug | n/a | n/a | n/a | [TrackedDivingLootContainer] Creating Containers: 4
02-06 20:33:49 | Server | Debug | n/a | n/a | n/a | [TrackedDivingLootContainer] Added new container at <13921.933594, -21.636478, 9308.594727>
02-06 20:33:49 | Server | Debug | n/a | n/a | n/a | [TrackedDivingLootContainer] Added new container at <2193.165527, -19.860001, 14639.040039>
02-06 20:33:49 | Server | Debug | n/a | n/a | n/a | [TrackedDivingLootContainer] Added new container at <13990.445313, -35.429993, 9321.177734>
02-06 20:33:49 | Server | Debug | n/a | n/a | n/a | [TrackedDivingLootContainer] Added new container at <11101.253906, 9.150000, 2321.347656>
02-06 20:35:53 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (18.3515) 0 -> 0
02-06 20:37:43 | Server | Debug | Connect | n/a | n/a | InvokeOnConnect:CustomMission<9903b0e0>
02-06 20:37:43 | Server | Debug | Connect | n/a | n/a | Player connected:SurvivorBase<b370180>
02-06 20:38:53 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (18.651) 0 -> 0
02-06 20:41:52 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (20.2704) 0 -> 0
02-06 20:44:52 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (22.0674) 0 -> 0
02-06 20:47:52 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (23.8644) 0 -> 0
02-06 20:50:52 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (1.66143) 0 -> 0
02-06 20:51:18 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Fog:: (1.92232) 0
02-06 20:53:51 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (3.45844) 0 -> 0
02-06 20:54:39 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Overcast:: (3.93371) overcast: 0
02-06 20:54:39 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Overcast::Rain:: (3.93371) 0
02-06 20:56:51 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (5.25544) 0 -> 0
02-06 20:59:51 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (5.74886) 0 -> 0
02-06 21:02:50 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (6.04836) 0 -> 0
02-06 21:05:50 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (6.34787) 0 -> 0
02-06 21:08:50 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain:: (6.64737) 0
02-06 21:09:43 | Server | Debug | Connect | n/a | n/a | InvokeOnDisconnect:CustomMission<9903b0e0>
02-06 21:09:43 | Server | Debug | Connect | n/a | n/a | Player disconnected:SurvivorBase<b370180>
02-06 21:09:43 | Server | Debug | n/a | n/a | n/a | Player SurvivorBase<b370180> saved as alive
02-06 21:10:35 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain:: (6.82244) 0.684585
02-06 21:12:08 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain:: (6.97751) 0.379578
02-06 21:12:28 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Overcast:: (7.01106) overcast: 0.752892
02-06 21:12:28 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Overcast::Rain:: (7.01106) 0.41918
02-06 21:14:01 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (7.16593) 0.601952 -> 0
02-06 21:17:01 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (7.46542) 0 -> 0
02-06 21:17:04 | Server | Debug | Connect | n/a | n/a | InvokeOnConnect:CustomMission<9903b0e0>
02-06 21:17:04 | Server | Debug | Connect | n/a | n/a | Player connected:SurvivorBase<14dad880>
02-06 21:20:00 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (7.76491) 0 -> 0
02-06 21:21:45 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Fog:: (7.93997) 0.0994631
02-06 21:22:16 | Server | Debug | recipes | n/a | n/a | Inheriting health from ingredient:1
02-06 21:22:26 | Server | Debug | recipes | n/a | n/a | Inheriting health from ingredient:1
02-06 21:23:00 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (8.06441) 0 -> 0
02-06 21:23:47 | Server | Debug | recipes | n/a | n/a | Inheriting health from ingredient:1
02-06 21:24:03 | Server | Debug | recipes | n/a | n/a | Recipe Do method called
02-06 21:24:20 | Server | Debug | recipes | n/a | n/a | Recipe Do method called
02-06 21:25:02 | Server | Debug | recipes | n/a | n/a | Inheriting health from ingredient:1
02-06 21:26:00 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (8.36391) 0 -> 0
02-06 21:26:21 | Server | Debug | recipes | n/a | n/a | Recipe Do method called
02-06 21:29:00 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (8.66341) 0 -> 0
02-06 21:31:59 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (8.96291) 0 -> 0
02-06 21:32:24 | Server | Debug | Connect | n/a | n/a | InvokeOnConnect:CustomMission<9903b0e0>
02-06 21:32:24 | Server | Debug | Connect | n/a | n/a | Player connected:SurvivorBase<12c9b010>
02-06 21:34:59 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (9.26241) 0 -> 0
02-06 21:36:25 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Overcast:: (9.40572) overcast: 0.139155
02-06 21:36:25 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Overcast::Rain:: (9.40572) 0
02-06 21:37:59 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (9.56191) 0 -> 0
02-06 21:40:58 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (9.86141) 0 -> 0
02-06 21:42:57 | Server | Debug | recipes | n/a | n/a | Inheriting health from ingredient:0
02-06 21:42:57 | Server | Debug | recipes | n/a | n/a | Inheriting health from ingredient:0
